MSH|^~\&|OERDB|QTE|NEON||201410241952||MFN^OT|01|P|2.3
QTE^10124F^Jan  1 1900 12:00AM^TETERBORO^86141^L^50.00
QTE^16128X^Jan  1 1900 12:00AM^TETERBORO^81275^L^1548.58
QTE^16131X^Jan  1 1900 12:00AM^TETERBORO^84702^L^267.43
QTE^16133X^Jan  1 1900 12:00AM^TETERBORO^82105^L^671.67
QTE^16141X^Jan  1 1900 12:00AM^TETERBORO^81402^L^671.67
QTE^16142X^Jan  1 1900 12:00AM^TETERBORO^81402^L^671.67
QTE^16145X^Jan  1 1900 12:00AM^TETERBORO^84702^L^267.43
QTE^16150X^Jan  1 1900 12:00AM^TETERBORO^82105^L^802.28
QTE^16155X^Jan  1 1900 12:00AM^TETERBORO^81401^L^646.80
QTE^16156X^Jan  1 1900 12:00AM^TETERBORO^81401^L^646.80
QTE^16158X^Jan  1 1900 12:00AM^TETERBORO^81310^L^410.47
QTE^16159X^Jan  1 1900 12:00AM^TETERBORO^81310^L^410.47
QTE^16167X^Jan  1 1900 12:00AM^TETERBORO^82105^L^802.28
QTE^16175X^Jan  1 1900 12:00AM^TETERBORO^81270^L^646.80
QTE^16176X^Jan  1 1900 12:00AM^TETERBORO^81401^L^396.78
QTE^16177X^Jan  1 1900 12:00AM^TETERBORO^81401^L^396.78
QTE^16184X^Jan  1 1900 12:00AM^TETERBORO^81402^L^733.87
QTE^16185X^Jan  1 1900 12:00AM^TETERBORO^87535^L^458.97
QTE^16186X^Jan  1 1900 12:00AM^TETERBORO^87536^L^391.81
QTE^16207X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^81.81
QTE^16259X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^239.98
QTE^16260X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^239.98
QTE^16280X^Jan  1 1900 12:00AM^TETERBORO^82378^L^213.56
QTE^16310X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^80.85
QTE^16320X^Jan  1 1900 12:00AM^TETERBORO^83036^L^80.66
QTE^16332X^Jan  1 1900 12:00AM^TETERBORO^87621^L^125.84
QTE^16344X^Jan  1 1900 12:00AM^TETERBORO^81401^L^684.11
QTE^16407X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^93.29
QTE^16433X^Jan  1 1900 12:00AM^TETERBORO^88184^L^811.62
QTE^16440X^Jan  1 1900 12:00AM^TETERBORO^84443^L^550.71
QTE^16441X^Jan  1 1900 12:00AM^TETERBORO^87798^L^606.06
QTE^16447X^Jan  1 1900 12:00AM^TETERBORO^87798^L^606.06
QTE^16454X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^367.79
QTE^16455X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^239.98
QTE^16456X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^282.58
QTE^16457X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^239.98
QTE^16460X^Jan  1 1900 12:00AM^TETERBORO^81235^L^746.30
QTE^16463X^Jan  1 1900 12:00AM^TETERBORO^84702^L^267.43
QTE^16464X^Jan  1 1900 12:00AM^TETERBORO^84702^L^267.43
QTE^16465X^Jan  1 1900 12:00AM^TETERBORO^82105^L^671.67
QTE^16466X^Jan  1 1900 12:00AM^TETERBORO^82105^L^671.67
QTE^16483X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^346.49
QTE^16484X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^346.49
QTE^16486X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^346.49
QTE^16491X^Jan  1 1900 12:00AM^TETERBORO^87491^L^425.50
QTE^16504X^Jan  1 1900 12:00AM^TETERBORO^87591^L^136.82
QTE^16505X^Jan  1 1900 12:00AM^TETERBORO^87491^L^136.82
QTE^16506X^Jan  1 1900 12:00AM^TETERBORO^87491^L^273.64
QTE^16510X^Jan  1 1900 12:00AM^TETERBORO^81275^L^516.19
QTE^16515X^Jan  1 1900 12:00AM^TETERBORO^81405^L^1455.29
QTE^16526X^Jan  1 1900 12:00AM^TETERBORO^81404^L^956.51
QTE^16536X^Jan  1 1900 12:00AM^TETERBORO^81403^L^646.80
QTE^16537X^Jan  1 1900 12:00AM^TETERBORO^81404^L^1095.83
QTE^16538X^Jan  1 1900 12:00AM^TETERBORO^81270^L^646.80
QTE^16539X^Jan  1 1900 12:00AM^TETERBORO^81270^L^646.80
QTE^16553X^Jan  1 1900 12:00AM^TETERBORO^87798^L^623.48
QTE^16558X^Jan  1 1900 12:00AM^TETERBORO^82652^L^300.14
QTE^16595X^Jan  1 1900 12:00AM^TETERBORO^87798^L^420.42
QTE^16596X^Jan  1 1900 12:00AM^TETERBORO^87798^L^420.42
QTE^16612X^Jan  1 1900 12:00AM^TETERBORO^81406^L^1592.12
QTE^16613X^Jan  1 1900 12:00AM^TETERBORO^81401^L^491.32
QTE^16614X^Jan  1 1900 12:00AM^TETERBORO^81401^L^491.32
QTE^16655X^Jan  1 1900 12:00AM^TETERBORO^81404^L^956.51
QTE^16715X^Jan  1 1900 12:00AM^TETERBORO^83036^L^80.66
QTE^16730X^Jan  1 1900 12:00AM^TETERBORO^87798^L^463.34
QTE^16739X^Jan  1 1900 12:00AM^TETERBORO^87798^L^463.34
QTE^16748X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^128.00
QTE^16767X^Jan  1 1900 12:00AM^TETERBORO^81210^L^615.70
QTE^16802X^Jan  1 1900 12:00AM^TETERBORO^83036^L^80.66
QTE^16811X^Jan  1 1900 12:00AM^TETERBORO^86152^L^905.52
QTE^16812X^Jan  1 1900 12:00AM^TETERBORO^86152^L^905.52
QTE^16818X^Jan  1 1900 12:00AM^TETERBORO^81404^L^516.19
QTE^16852X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^239.98
QTE^16853X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^239.98
QTE^16854X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^278.42
QTE^16855X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^282.58
QTE^16856X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^367.79
QTE^16858X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^367.79
QTE^16859X^Jan  1 1900 12:00AM^TETERBORO^81404^L^733.87
QTE^16869X^Jan  1 1900 12:00AM^TETERBORO^81401^L^988.00
QTE^16879X^Jan  1 1900 12:00AM^TETERBORO^87535^L^458.97
QTE^16885X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^85.08
QTE^16886X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^85.08
QTE^16887X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^85.08
QTE^16888X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^85.08
QTE^16889X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^81.81
QTE^16890X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^85.08
QTE^16891X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^85.08
QTE^16892X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^85.08
QTE^16893X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^85.08
QTE^16894X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^85.08
QTE^16897X^Jan  1 1900 12:00AM^TETERBORO^81404^L^496.34
QTE^16901X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^81.81
QTE^16909X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^81.81
QTE^16911X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^81.81
QTE^16959X^Jan  1 1900 12:00AM^TETERBORO^81479^L^317.18
QTE^16966X^Jan  1 1900 12:00AM^TETERBORO^82105^L^802.28
QTE^16968X^Jan  1 1900 12:00AM^TETERBORO^84702^L^267.43
QTE^16970X^Jan  1 1900 12:00AM^TETERBORO^82105^L^893.08
QTE^16974X^Jan  1 1900 12:00AM^TETERBORO^84702^L^267.43
QTE^16975X^Jan  1 1900 12:00AM^TETERBORO^82105^L^671.67
QTE^16977X^Jan  1 1900 12:00AM^TETERBORO^82105^L^802.28
QTE^16983X^Jan  1 1900 12:00AM^TETERBORO^81401^L^383.97
QTE^16984X^Jan  1 1900 12:00AM^TETERBORO^81401^L^383.97
QTE^16985X^Jan  1 1900 12:00AM^TETERBORO^84466^L^155.48
QTE^17029X^Jan  1 1900 12:00AM^TETERBORO^81404^L^1260.00
QTE^17072X^Jan  1 1900 12:00AM^TETERBORO^86003^L^102.52
QTE^17075X^Jan  1 1900 12:00AM^TETERBORO^86003^L^46.96
QTE^17185X^Jan  1 1900 12:00AM^TETERBORO^87621^L^308.46
QTE^17220X^Jan  1 1900 12:00AM^TETERBORO^87798^L^606.06
QTE^17239X^Jan  1 1900 12:00AM^TETERBORO^81263^L^3211.28
QTE^1727T^Jan  1 1900 12:00AM^TETERBORO^85307^L^1256.84
QTE^17290X^Jan  1 1900 12:00AM^TETERBORO^88184^L^1470.22
QTE^17303X^Jan  1 1900 12:00AM^TETERBORO^87491^L^136.82
QTE^17304X^Jan  1 1900 12:00AM^TETERBORO^87591^L^136.82
QTE^17305X^Jan  1 1900 12:00AM^TETERBORO^87491^L^273.64
QTE^17306C^Jan  1 1900 12:00AM^TETERBORO^82306^L^232.54
QTE^17306X^Jan  1 1900 12:00AM^TETERBORO^82306^L^232.54
QTE^17312X^Jan  1 1900 12:00AM^TETERBORO^81263^L^2023.73
QTE^17320X^Jan  1 1900 12:00AM^TETERBORO^87798^L^422.91
QTE^17333X^Jan  1 1900 12:00AM^TETERBORO^87491^L^1053.48
QTE^17385X^Jan  1 1900 12:00AM^TETERBORO^87491^L^285.19
QTE^17401X^Jan  1 1900 12:00AM^TETERBORO^86141^L^230.11
QTE^17406X^Jan  1 1900 12:00AM^TETERBORO^82523^L^190.31
QTE^17408X^Jan  1 1900 12:00AM^TETERBORO^85730^L^46.65
QTE^17417X^Jan  1 1900 12:00AM^TETERBORO^86301^L^140.56
QTE^17419X^Jan  1 1900 12:00AM^TETERBORO^86300^L^140.56
QTE^17420X^Jan  1 1900 12:00AM^TETERBORO^82378^L^163.26
QTE^17421X^Jan  1 1900 12:00AM^TETERBORO^82378^L^120.65
QTE^17454X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^71.17
QTE^174F^Jan  1 1900 12:00AM^TETERBORO^84436^L^99.51
QTE^17515X^Jan  1 1900 12:00AM^TETERBORO^83540^L^131.65
QTE^17516X^Jan  1 1900 12:00AM^TETERBORO^83540^L^129.04
QTE^17548X^Jan  1 1900 12:00AM^TETERBORO^84702^L^137.45
QTE^17563X^Jan  1 1900 12:00AM^TETERBORO^87798^L^436.34
QTE^17584X^Jan  1 1900 12:00AM^TETERBORO^82378^L^163.26
QTE^17587X^Jan  1 1900 12:00AM^TETERBORO^84702^L^114.43
QTE^17591X^Jan  1 1900 12:00AM^TETERBORO^84478^L^38.56
QTE^17592X^Jan  1 1900 12:00AM^TETERBORO^84478^L^45.41
QTE^17605X^Jan  1 1900 12:00AM^TETERBORO^82378^L^120.65
QTE^17610X^Jan  1 1900 12:00AM^TETERBORO^87798^L^1334.39
QTE^17611X^Jan  1 1900 12:00AM^TETERBORO^82977^L^332.13
QTE^17615X^Jan  1 1900 12:00AM^TETERBORO^87491^L^136.82
QTE^17617X^Jan  1 1900 12:00AM^TETERBORO^87591^L^136.82
QTE^17618X^Jan  1 1900 12:00AM^TETERBORO^87491^L^273.64
QTE^17638X^Jan  1 1900 12:00AM^TETERBORO^86301^L^140.56
QTE^17639X^Jan  1 1900 12:00AM^TETERBORO^84702^L^114.43
QTE^17642X^Jan  1 1900 12:00AM^TETERBORO^86301^L^140.56
QTE^17643X^Jan  1 1900 12:00AM^TETERBORO^86301^L^140.56
QTE^17644X^Jan  1 1900 12:00AM^TETERBORO^84702^L^110.03
QTE^17659X^Jan  1 1900 12:00AM^TETERBORO^PROF^F^104.48
QTE^17679X^Jan  1 1900 12:00AM^TETERBORO^81401^L^503.76
QTE^17690X^Jan  1 1900 12:00AM^TETERBORO^81402^L^547.29
QTE^17702X^Jan  1 1900 12:00AM^TETERBORO^81263^L^552.71
QTE^17717X^Jan  1 1900 12:00AM^TETERBORO^86304^L^140.56
QTE^18041X^Jan  1 1900 12:00AM^TETERBORO^81401^L^988.00
QTE^182A^Jan  1 1900 12:00AM^TETERBORO^85025^L^385.41
QTE^18816X^Jan  1 1900 12:00AM^TETERBORO^87491^L^273.64
QTE^18817X^Jan  1 1900 12:00AM^TETERBORO^87491^L^273.64
QTE^18828X^Jan  1 1900 12:00AM^TETERBORO^87491^L^427.87
QTE^18835X^Jan  1 1900 12:00AM^TETERBORO^87798^L^463.34
QTE^18873X^Jan  1 1900 12:00AM^TETERBORO^87798^L^455.56
QTE^18889X^Jan  1 1900 12:00AM^TETERBORO^87798^L^599.50
QTE^18967X^Jan  1 1900 12:00AM^TETERBORO^87535^L^850.78
QTE^18989X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^81.81
QTE^18990X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^81.81
QTE^18991X^Jan  1 1900 12:00AM^TETERBORO^G0431^L^81.81
QTE^18992X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^81.81
QTE^18993X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^81.81
QTE^18995X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^81.81
QTE^18T^Jan  1 1900 12:00AM^TETERBORO^82465^L^105.73
QTE^19098X^Jan  1 1900 12:00AM^TETERBORO^87798^L^265.93
QTE^190A^Jan  1 1900 12:00AM^TETERBORO^85014^L^41.97
QTE^19412X^Jan  1 1900 12:00AM^TETERBORO^87798^L^429.12
QTE^19476X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^135.00
QTE^19485X^Jan  1 1900 12:00AM^TETERBORO^84702^B^137.36
QTE^19537X^Jan  1 1900 12:00AM^TETERBORO^84443^L^180.36
QTE^19642X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^105.04
QTE^19649X^Jan  1 1900 12:00AM^TETERBORO^85610^L^1008.13
QTE^19720X^Jan  1 1900 12:00AM^TETERBORO^84702^L^171.65
QTE^19733X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^335.84
QTE^19782X^Jan  1 1900 12:00AM^TETERBORO^81401^L^646.80
QTE^19783X^Jan  1 1900 12:00AM^TETERBORO^81401^L^646.80
QTE^19790X^Jan  1 1900 12:00AM^TETERBORO^85730^L^1003.35
QTE^19834X^Jan  1 1900 12:00AM^TETERBORO^82947^L^64.68
QTE^19837X^Jan  1 1900 12:00AM^TETERBORO^81406^L^1467.73
QTE^19838X^Jan  1 1900 12:00AM^TETERBORO^81406^L^1467.73
QTE^19849X^Jan  1 1900 12:00AM^TETERBORO^81401^L^605.13
QTE^19860X^Jan  1 1900 12:00AM^TETERBORO^88184^L^609.96
QTE^19863X^Jan  1 1900 12:00AM^TETERBORO^87621^L^125.58
QTE^19864X^Jan  1 1900 12:00AM^TETERBORO^87621^L^261.21
QTE^19865X^Jan  1 1900 12:00AM^TETERBORO^87621^L^308.46
QTE^19872X^Jan  1 1900 12:00AM^TETERBORO^85730^L^1208.41
QTE^19884X^Jan  1 1900 12:00AM^TETERBORO^81401^L^621.92
QTE^19960X^Jan  1 1900 12:00AM^TETERBORO^81404^L^1268.72
QTE^19961X^Jan  1 1900 12:00AM^TETERBORO^81404^L^1268.72
QTE^20099W^Jan  1 1900 12:00AM^TETERBORO^86301^L^164.18
QTE^20123E^Jan  1 1900 12:00AM^TETERBORO^86300^L^146.28
QTE^20396R^Jan  1 1900 12:00AM^TETERBORO^82378^L^140.62
QTE^20867W^Jan  1 1900 12:00AM^TETERBORO^83718^L^63.81
QTE^20909W^Jan  1 1900 12:00AM^TETERBORO^83721^L^59.49
QTE^20933E^Jan  1 1900 12:00AM^TETERBORO^82465^L^36.77
QTE^21113E^Jan  1 1900 12:00AM^TETERBORO^84702^B^137.36
QTE^2154F^Jan  1 1900 12:00AM^TETERBORO^80061^L^227.41
QTE^224F^Jan  1 1900 12:00AM^TETERBORO^82105^L^283.60
QTE^22764R^Jan  1 1900 12:00AM^TETERBORO^82728^L^107.96
QTE^22947W^Jan  1 1900 12:00AM^TETERBORO^82985^L^46.02
QTE^22X^Jan  1 1900 12:00AM^TETERBORO^85307^L^149.45
QTE^2311X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^2313X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^2314X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^2315X^Jan  1 1900 12:00AM^TETERBORO^86003^L^34.95
QTE^2316X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^23242E^Jan  1 1900 12:00AM^TETERBORO^82977^L^51.31
QTE^2337T^Jan  1 1900 12:00AM^TETERBORO^84153^L^179.11
QTE^23861X^Jan  1 1900 12:00AM^TETERBORO^86003^L^31.37
QTE^23892X^Jan  1 1900 12:00AM^TETERBORO^86003^L^63.11
QTE^23893X^Jan  1 1900 12:00AM^TETERBORO^86003^L^34.95
QTE^2407X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^2415X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^2417X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^2420X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^24786R^Jan  1 1900 12:00AM^TETERBORO^86336^N^229.92
QTE^24984R^Jan  1 1900 12:00AM^TETERBORO^83540^L^44.78
QTE^2520X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^2521X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^2539X^Jan  1 1900 12:00AM^TETERBORO^86003^L^45.15
QTE^2554X^Jan  1 1900 12:00AM^TETERBORO^86003^L^34.95
QTE^2556X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^2558X^Jan  1 1900 12:00AM^TETERBORO^86003^L^52.62
QTE^2622X^Jan  1 1900 12:00AM^TETERBORO^86003^L^75.83
QTE^2625X^Jan  1 1900 12:00AM^TETERBORO^86003^L^72.70
QTE^2626F^Jan  1 1900 12:00AM^TETERBORO^82378^L^217.67
QTE^26281Z^Jan  1 1900 12:00AM^TETERBORO^86003^L^31.10
QTE^2633X^Jan  1 1900 12:00AM^TETERBORO^86003^L^72.91
QTE^2636X^Jan  1 1900 12:00AM^TETERBORO^86003^L^50.93
QTE^2638X^Jan  1 1900 12:00AM^TETERBORO^86003^L^63.40
QTE^2653X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^2655X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^26567X^Jan  1 1900 12:00AM^TETERBORO^G0434^L^120.00
QTE^2656X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^26578X^Jan  1 1900 12:00AM^TETERBORO^86003^L^31.10
QTE^2662X^Jan  1 1900 12:00AM^TETERBORO^86003^L^39.50
QTE^2679X^Jan  1 1900 12:00AM^TETERBORO^86003^L^63.40
QTE^2682X^Jan  1 1900 12:00AM^TETERBORO^86003^L^92.70
QTE^26F^Jan  1 1900 12:00AM^TETERBORO^85610^L^38.74
QTE^2713N^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
QTE^2718X^Jan  1 1900 12:00AM^TETERBORO^86003^L^46.96
QTE^2719X^Jan  1 1900 12:00AM^TETERBORO^86003^L^37.32
